scenario,timestep,cka_drop,B1_random,B2_static,B3_l2,KARAT,gain_vs_B2
S1_targeted,0,0.0065,0.1494,0.5,0.5,0.5,0.0
S1_targeted,2,0.0229,0.1494,0.5,0.5,0.5,0.0
S1_targeted,4,0.1028,0.1494,0.5,0.5,0.491,-0.009
S1_targeted,6,0.1307,0.1494,0.5,0.5,0.4936,-0.0064
S1_targeted,8,0.1377,0.1494,0.5,0.5,0.4946,-0.0054
S1_targeted,10,0.1433,0.1494,0.5,0.5,0.495,-0.005
S2_coordinated,0,0.0098,0.1494,0.5,0.5,0.5,0.0
S2_coordinated,2,0.0342,0.1494,0.5,0.5,0.5,0.0
S2_coordinated,4,0.1466,0.1494,0.5,0.5,0.496,-0.004
S2_coordinated,6,0.1877,0.1494,0.5,0.5,0.4946,-0.0054
S2_coordinated,8,0.1989,0.1494,0.5,0.5,0.4937,-0.0063
S2_coordinated,10,0.207,0.1494,0.5,0.5,0.4936,-0.0064
S3_cascading,0,0.015,0.1494,0.5,0.5,0.5,0.0
S3_cascading,2,0.0508,0.1494,0.5,0.5,0.5,0.0
S3_cascading,4,0.2046,0.1494,0.5,0.5,0.4972,-0.0028
S3_cascading,6,0.2608,0.1494,0.5,0.5,0.5,0.0
S3_cascading,8,0.2795,0.1494,0.5,0.5,0.5,0.0
S3_cascading,10,0.292,0.1494,0.5,0.5,0.5,0.0
